instagram_comments,offensive_language
Amooo os 2 ❤️,0
"Verdade, deve ser comemorado, o mundo mudou, devagar ou não, mas temos avanços.",0
"Canalhas, comunistas desgracados!!!",1
Pirralha,1
Só passando vergonha esse bando de inútil,1
O que mais falta para esse canalha roubar do povo? Pior presidente da história.,1
"Quem tiver duvida de que lula é um preso político é uma pessoa alienada, assim como quem considera Lula heroi. Nem uma coisa nem outra. Foi um presidente que criou alguns programas sociais, mas que ajudou muito mais os banqueiros, e Odebrecht, etc. Não sou tapada a ponto de achar lula um bandido nem de torna-lo um heroi.",1
Os dois juntos... 💚❤️,0
Quem mais disseminou fake news foi o ptfake.😎,1
"Normal, o fato de ser negra contou muito",0
Melhor episódio da vida ❤️❤️❤️❤️❤️,0
Loucos adorando e idolatrando um loco..... Affff....quanta tolice e cegueira desse povo. Muito triste...😔😢😭 Acorda BRASIL! 🇧🇷💚💛💙 Estamos sobre Nova Direção. Brasil Acima de Tudo e Deus Acima de Todos❣️ 🤗🙏🏻🙌🏼🙌🏼,1
"Garoto, era pra vc ser o nosso presidente e não essa besta que os “cidadãos de bem” elegeram!",1
Nossa muito triste e estúpido temos q nos unir contra esses covardes 👏👏👏,1
"Na verdade Bolsonaro não está governando, continuamos nas mãos da esquerda maldita!!!",1
Precisamos uma visita de vocês no CMR COLÉGIO MILITAR DE RECIFE!,0
Eles são canalhas.. Covardes.. Destruíram nosso país.. Nos roubaram descaradamente.. Não se importam nem um pouco com nossa nação.. Apenas buscam seus próprios interesses e são doentes pelo poder.. Querem estar no controle.. Querem o poder a qualquer custo!.. Nós não recuaremos.. Nós venceremos!.. E eles serão envergonhados!... 🇧🇷🇧🇷,1
Teve a pergunta-chave: Você tá lúcido? 😂😂👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷,0
Não vejo a hora de ver esse demônio de 9 dedos na cadeia novamente!!!,1
Esse terrorista tem que voltar pra CADEIA.,1
Sua estúpida qual tua revolta qd o Humberto amecou.,1
Perfeito!!,0
Caralho!! Que jornalista desgraçado!!!,1
Essa mulher negra me representa parabéns Benedita . O Racismo é uma coisa Orivél infelizmente esse país é um país racista . Quem não é negro de pele e um negro branco ou seja tem sangue negro.,0
Tem que prender por incitação a violência.,1
Ridículo,1
"Nossa Manuela. Imaginei que vc fosse mais inteligente ou no mínimo tivesse um pouco de empatia. Você já foi á Roraima saber o que está se passando? Tem venezuelano fugindo da fome, da falta de remédios. Imagina a quantidade de venezuelano que prefere deixar a sua casa pra ir a um país estrangeiro morar na rua. Se submetem a situações deploráveis. Mas você não enxerga isso dentro do seu mundinho comunista, não é mesmo? Parabéns, HIPOCRITA!",1
Que Deus possa dar forças a está mulher vitoriosa. #somostodosdamares 💖,0
"Repugnante, absurdo o que esse deputado fez, tem que olhar pra trás e vê como foi fácil a chegada dele aonde encontra_se hoje, mas não é a mesma oportunidade oferecida ao negro, educação, saúde, um lar, um, um bom emprego, se eles nunca tiveram irão ficar sempre atrás, consciência de o negro tem que ser tratado por igual, com as mesmas garantias e direitos.",0
Toma pobre trouxa! 😂😂😂,1
"Tem problema não deputada, quem tem que se preocupar são a familia Bolsonaro.",0
Kkkkkkk data folha.,0
"@tiamaoficial precisamos do seu apoio, independente de afinidade política. Isso não pode ficar assim, precisamos divulgar este vídeo.",0
"Enquanto isso na África.... Mas é a África ,,,, it doen't matter for us",1
Condenado 35 vezesc,1
Simples assim,0
Lula Livre,0
Mais que merecido! Melhor ministro de educação que esse país já teve!,0
"Embaixador 😂😂😂foi líder do governo a força,fala merda e depois pedi desculpas",1
"ESSE VERME ENGANA OS JUMENTOS,E MENTE QUANDO CITA A BOLIVIA,POIS LA,É O MESMO POVO DE BEM QUE NÃO AGUENTAVA MAIS O AMIGUINHO DELE FERRANDO COM A NAÇÃO. MAIS UM MOTIVO PARA O POVO BRASILEIRO E O EXEECITO CRIAREM VERGONHA NA CARA E TOMAR-MOS UMA ATITUDE CONTRA ESSES LIXOS.",1
Manda mais Mito tá pouco prós teus eleitores.,0
"Pirralha 😂😂😂 não sabe de nada, e essas postagens dela são assessoradas por pessoas que estão patrocinando essa pirralha. Ela não sabe nem onde fica o Brasil. Pelo amor Deus! 😂😂😂",1
Esse é 👍👍,0
Patriotismo a parte....los Hermanos sempre tiveram mais cultura.. desta vez foi só mais uma demonstração,0
Bandidos,1
O vôMITO é mesmo o satanás!!!,1
@carla.zambelli por que você não se desliga do PSL já que os ânimos estão a flor da pele por lá,0
Um cara desses não morre pq o diabo não quer concorrência,1
Grande encontro!,0
Globolixo🤮🤮🤮,1
Fora #Globolixo,1
Emocionante,0
"@iltonh Acho q vc esta chamando a pessoa errada, ou ñ?",0
"Esse negócio de mulher NEGRA está por fora. Foi escolhida uma MULHER LINDA do continente africano. Mulher é mulher. Ou ela é diferente das outras por causa da sua cor. É mais sensual, mais carinhosa, mais inteligente...???",0
Como faz para eternizar os aplausos ? Pq eu nao to sabendo lidar com este momento sublime !,0
Nobre deputado destaque o STF vai continua mandando em nosso país?,0
Em Carla nepotismo cruzado e crime https://www.tercalivre.com.br/nabhan-garcia-e-carla-zambelli-violam-constituicao-com-nepotismo-cruzado/,0
Eita homem lindo! Por mim era nosso presidente!,0
Que saudade do regime militar,1
"Nunca vai ser , nunca será presidente do nosso país. Vai se acostumando pq daqui uns dias não será eleito nem a presidente do grémio. 😚",1
Nunca houve isso no Brasil o Bolsonaro semelhou está descriminação contar a os negros os gêy contra a todos. O quê que este homem aínda está fazendo no governo.,0
Perfeitos ah 💚,0
Lulalixo da nojo de ouvir esse cara😁😁,1
"Falei e falo sempre, já passou da hora de dar um pau nesses esquerdistas.",1
"Nao é só mais um concurso de beleza, é representatividade.",0
Pastor de bosta,1
👏👏👏👏👏🇧🇷🇧🇷🇧🇷vamos que vamos🙏,0
Meu sonho é ter um parente num colégio militar,0
"Os inteligente na pista kkkk o que mais que a galera sabe me contam eu não sabia dessa será que sou burra, a não eu não estava lá na guerra opis",0
Vcs sao doentes!,1
"Joice é triste ver uma pessoa como vc que tinha realmente futuro na política. Me parece que vc cortou os pulsos (suicídio politico) , como não morreu agora tenta tomar chumbinho. O que há com vc ? Parece que a sua vaidade está afetando o seu raciocínio, e esse papo de direita equilibrada, racional não cola, vc não percebe? Ser líder de um partido que vai quebrar e que antes do Bolsonaro não era nada. (Não tenho heróis policitos).",1
"Linda, esguia. Show",0
"Me dá pena também, de ver o seu país hoje em dia!!",0
Como aqueles porcos chauvinistas subestimaram essa mulher!!! Pura misoginia!,1
Tem que mandar outra dizendo que esses vigaristas não nos representam.,1
Olha que Lindo,0
"Divina demais. Uma deusa de mulher. E quando assumiu o microfone , deixou todos emocionados com suas palavras , representatividade explodiu ali para a mulher negra, sempre subjugada como objeto (e sem valor) ... e a Miss Sul-africana mostrou que a luta ainda não acabou",0
Doida pra ter esse gato como 😍😚❤️❤️❤️meu presente.,0
"O que mais tem é idiota na política PT e seus puxadinhos, são campeões na categoria.",1
"A população do bem sempre vai prevalecer a esses PETRalhas,se forem fazer baderna vamos responder à altura",1
"Lindaça a miss universo, parabéns!👸🏿🌺🌺🌺👏🏼👏🏼👏🏼👏🏼😚😍",0
Escroto FDP,1
"Esquerdista agora fala em democracia porque levou uma surra no voto, assim como vagabundo jura por Deus depois de um tapa na lateral.🤣",1
"Baixe a bola você, miliciano virtual de fake news.",1
Toma vergonha#redelixo🇧🇷,1
@manueladavila. Aguenta mulher comecou agora kkl meu presidente🙌😻,0
Ameiii! Maravilhosos! 😍,0
Que tudo dê ruim que ele está fazendo recaia 70 vezes mais sobre ele,1
Carniça nunca mais,1
Agora sim,0
Lixo comunista,1
Esse lixo tem pena e da propina que andava ganhando ilicitamente,1
Vcs sao doentes!,0
"Relacha, tudo que um vil faz se volta contra ele, observe.🙄",0
Parabéns ministro Fachin .,0
😂 pra mim não precisa disso,0
Amo as entrevistas da Leda👍,0
Leda é sensacional!,0
Meu presidente aí💪💚💚,0
"Carta capital , revestinha de banca, sórdida!",1
Nojo!,1
Aff...,1
Ai quem me dera,0
Parabéns professor👏👏👏👏,0
É pilantra.,1
"Com certeza! Repúdio ao ato de Vandalismo do tal , Coronel Tadeu do PSL.",0
"Querida Gleisi Hoffmann,infelizmente o nosso povo está acostumado a ser manipulado ,seja na política,na religião,em casa ou no ambiente de trabalho,mediante todas as provas de que esse é o pior presidente que o Brasil já teve( pois consegue ser pior até dos que presidiram na época da Ditadura) , ainda assim esse povo calhorda o chamam de meu Capitão, de Mito, enquanto que eu peço desculpas ao Diabo se o chamo de Demônio",1
"Votei no Sr. Jair, mas são essas e várias outras atitudes que me faz refletir melhor sobre o futuro desse País. 😢",0
Lindíssima 🥰,0
Minha família apoia o nosso Presidente Bolsonaro,0
João Gordo é uma personalidade muito forte e faz muita falta na TV aberta,0
Com certeza👏👏👏👏,0
Quem dera que a gauchada retrógrada abrisse os olhos... Mas por aqui peão acha que é fazendeiro... 😢,1
O Brasil só vai evoluir no dia em que a população der sim a monarquia. Não entendo como em pleno século XXI têm pessoas que acreditam que na monarquia não existe democracia.,0
Como essa gente e.destituida de qualquer mencao de razao a ignorancia e.tao .grande que e inconcebivel acreditar nesse pensamentotao mediocre e pauperrimo.de livrar se dos atos de bom vivan desse crapula e verme que gracas a tudo .esta.sendo .escurracado dos nossos locais de convivio essa pessoa escrota queva se.hanituando a nao.ser nada pois nada e nada comforme se acabou .,1
Professor 🔝🔝🔝,0
Tudo farinha do mesmo saco.Nao importa o tempo é sim a traição.,1
"Este cara é um escroto, a besta fera em pessoa",1
Gente do Céu... Meu Deus... Quem escreveu isso?,0
Que milagre não pareceu os gados dizendo bobagens 😒😒😒,1
"Ainda tem “especialista” da @globonews dizendo que @manueladavila pode torcer pela eleição de Cristina kirchner e Alberto Fernández, o Bolsonada pode ameaçar os eleitores livres da Argentina. Vergonha dessa imprensa descarada e burlesca.",1
Ué... Agora vai usar o seu perfil pra passar notícia sem opinião? O que as revistas publicam todo mundo sabe... Parece propaganda de revista,0
#globo lixo,1
😂😂😂😂 #GloboLixo,1
Bando safado,1
coisa mais linda da minha vidaaaa🌷🌷🌷,0
"Perde não, Carla. As notícias verdadeiras é que são válidas mesmo. Quem corre risco maior é a esquerda, que inventou muito na eleição.",0
Pirralha e ridicula,1
Bora Brasil...Lula na Cadeia 👏👏👏🇧🇷,1
"Feliciano é um asqueroso, ser desprezível 🤮🤮🤮",1
"Deputada Benedita,me sinto representada por vc ,pela Jandira. #RACISTA NÃO PASSARÃO",0
O professores dela são da teledramaturgia da rede Globo de televisão!!,1
É um ridículo mesmo. 😤,1
(cuidado!! numeração duplicada!!) Mimimi.......,1
"Vamos varrer o PT do nosso país. Estamos juntos nessa querra, nosso país jamais será uma Venezuela.",1
"Deputada, esses criminosos não podem ficar impune com esse ato de racismo e vandalismo. Com a eleição da milícia, a Câmara parece que abriu espaço para os marginais e delinquentes. INACEITÁVEL que o Foro privilegiado seja proteção para os CRIMINOSOS.",0
Parabéns futuro presidente!,0
Geniossss amo ambos 💓,0
Concordo 👏,0
Haddad: sabedoria e dignidade!,0
"Bela atriz,",1
"A maior oposição ao governo, infelizmente, vem de dentro: são Moe,Larry e Shemp.",0
Velho depravado!,1
"Comédia mesmo, se fosse uma mulher branca o concurso seria opressor, racista, homofóbico, elitista, etc ... Mas como essa linda mulher ganhou e tem a cor negra, agora o concurso é justo, honesto, representa as feminazis, etc ... Que discurso mais contraditório.",1
Hipocrisia esquerdopata oportunista,1
Faz parte do patriarcado brasileiro querem o que?? Homens nojentos que já veem meninas como mulheres.,1
HADDAD QERIDOS MARAVILHOSOS MILHARES TIAMAMO VC TEM MUITA CARÁTER NÃO SEI PREOCUPA COQUE ESSE IDIOTA FALAR ESTAMOS JUNTOS,0
"Isso vai ser para todos os partidos ou só para o partido do presidente????? E qual vai ser o critério para isso, e quem cai julgar, porque vi o pt fazer muitos faknews e ninguém fez nada! O próprio candidato do pt às vésperas das eleições aprontou.",1
Não vou perder POR nada,0
Impressionante!,0
CLARO QUE TEM PENA PORQUE ELA JUNTO COM O LULADRÃO SUGARAM O POVO DEVERIA TER VERGONHA NA CARA E DEVOLVER O DINHEIRO QUE LEVOU,1
Esse é o verdadeiro futuro!! O melhor caminho para os nossos jovens!!👏👏💪,0
O gado baba de ódio por não terem tamanha sensatez!! Ótimo ver o gado convulsionando!,1
"Hoje, assistindo uma entrevista no programa do Juca Kfouri, não me lembro o nome do entrevistado pois peguei no final, o cara disse o seguinte: a Damares não é louca, ela sabe bem a que veio, as falas do ministro do trabalho são arquitetadas, o Silvio também sabe o que está fazendo, ou seja, parece um roteiro a ser seguido por todos os que rodeiam o presidente, os apoiadores do golpe, até seus eleitores. É uma desconstrução de tudo o que levou décadas para ser feito de bom no campo da educação, cultura, artes, liberdades, democracia. É terrível, mas verdadeiro. Tenho percebido isso inclusive nos grupos familiares e de trabalho, quando se faz uma crítica ou se mostra a verdade do que vem acontecendo, rapidamente alguém corre para mudar o foco. Foi uma lavagem cerebral planejada.",0
"Que fim político triste o seu Joice, não vou deixar de te seguir para ver o que vai dar, a cada dia vc se supera",0
"Não discute com esquerdista, são sem noção",1
#Forafeliciano e sua tropa virtual.🏴,1
Vagabundos 😎,1
Cada dia se queimando mais,0
Afinal o sítio não é dele kkkkkkkkkkkkk,0
"Toma idiota útil, você poderia ter ficado sem essa vergonha.",1
Tranqueira!!!,1
Canalhas mil vezes 🤮,1
Lindesa.,0
Todo dia essa esquerda quer desmoralizar nosso governo. 🇧🇷💚🙏🇧🇷🙏🏿,1
Estão dando muita atenção a essa deputada de mandato único.,0
Gloria a Deus!!,0
JA DIZIA O SANTO JOÃO BATISTA:HIPOCRITAS!!!!! RAÇA DE VIBORAS!!!ENDIREITAI OS CAMINHOS.O Messias vem,1
Bom. Não vejo problemas para nós mas sim para a esquerda que se sustenta somente em fake news.,1
"Principalmente, a senhora deputada, se aproveitando para queimar seu líder... Mas humildade!",0
Oque tem ave Rio Grande do Sul com Roraima kkkkkk!,0
"Parabéns para esta belíssima mulher, lindaaaaaaaa",0
"Eu sou otimista, mas sei que vai demorar. Que jamais me falte fé.",0
Quem irá julgar os Fake News? 🤔,0
Presidente 2022🙏🏼,0
Sou fã incondicional dos dois.,0
Mas vc vai estar lúcido ?,0
Estarei aguardando!👏👏😘,0
Imperdível,0
Deus abençoe Haddad 🙏,0
Podridão dessa gente 🤮🤮🤮🤮,1
"Meu Deus que absurdo, presidente dele fala o que. disso , será que isso é normal . que mundo agente estar...",0
Vc & paulo freire ❤@fernandohaddadoficial,0
Há um ditado que boca fechada não entra mosquito.,0
Graças a Deus aleluia,0
O BRASIL ESTÁ COM BOLSONARO. VAI PARA A VENEZUELA. LIXO.,1
Fala bandidão,1
não vejo preconceito,0
"Repugnante essa matéria, esse indivíduo precisa ser processado!",1
Lula livreeee. Nós te amamos muito Lula.,0
Fiquei emocionada,0
E os diretos morais? Processe os canalhas!,1
Dá-lhe Cristina!,0
Feliciano é um dos políticos mais nojentos da atualidade.,1
Só orgulho do presidente 💙🇧🇷💚,0
Eu acho Carla que isso é baixaria não combina com vc coloca no seu lugar e fica na sua,1
"Estou sem palavras... Já acho foda, ver o cabelo afro como moda (a palavra foda saiu para não digitar emocionado) e agora isso.... Lindo lindo",0
Canalha,1
A mãe dele não ensinou que não poderia comer as próprias fezes. Deu nisso... Até a boca se moldou no formato de um ânus...,1
Vagabundo! Déspota! Demiurgo!,1
"Nada de novo, o Brasil ainda está infestado de bandidos !",1
Tem que pegar o cara que escreveu essa matéria a dar um taca nesse verme. Bater nele até ele perder o caminho de casa. Prender ele na cadeia e quando soltar ele lá dizer que ele estuprador aí ele vai aprender a dar valor.,1
O LIXO do Brasil= STF,1
O Brasil tem jeito! Muita esperança nesse governo! 👏🙏🇧🇷,0
"E o Brasil virou um país governado pela ditadura militar, com o chefe @jairmessiasbolsonaro",0
"Só podia ser de um policial um absurdo desses, o cara quer aparecer de qualquer jeito.",0
"Não são Fala irresponsáveis, sao falas que o povo gostaria de dizer",0
Deus nos livre desse mal!!!,1
Ninguém vai calar essa imundice?,1
👎👎👎👎👎👎👎👎👎👎👎👎👎LULU e JOYCI TRAIDORES JUDAS SATANÁS,1
Você acha mesmo que os investidores irão deixar de investir por que Bolsonaro chamou essa abestalhada de Pirralha??,1
"Fortalece a esquerda? Pergunte ao povo o que acha sobre uma possível reedição do AI-5? @joicehasselmannoficial , uma piada",1
Comunista safada...,1
Otario,1
Que devolva a propina e pare de se meter onde nao foi chamada brachelenta!,1
"Parabéns, professor!! Homenagem merecida!!!",0
Juntos somos mais fortes avante Brasil,0
Aro,0
rem esse idiota logo.,1
Aproveite a nave e vai p inferno! Leva seu amigo junto,1
Um monstro!👿👿👿👿👿👿👿👿👿👹👹👹👹☠☠,1
"Agora ficou visível que @joicehasselmannoficial tá contra o @jairmessiasbolsonaro Bolsonaro. Postou até uma charge zoando com o PR. Isso que é ser ingrata, mas não ganha mais nem@pra síndica",1
Até que enfim!,0
Merecido 👏🏾👏🏾,0
Ou derruba esse congresso e STF ou o Brasil será derrubado.,1
Muito sensata Janaina Paschoal concordo plenamente eles da falas de der argumentos ai fica difícil...,0
"Esses traíras, só pendurando pelas bolas e deixar lá, até encostar no chão....🤦‍♂️",1
Grande homem a se fosse você o nosso presidente. Não estava a acontecendo essas misérias,0
"Menina chata do caralho! Se for seguir o que ela diz teríamos bilhões de desempregados passando fome, as pessoas não tem noção, abram o leque e enxerguem além, a vida real é dura!",1
"Vagabundo, safado.",1
Te que fim,0
Esse homem devia ser impedido de fazer programas e ser internado pra tratamento isso é inadmissível,1
Eu tenho nojoooooo 🤮 desse homem,1
"Verdade ! Apesar de concordar com a fala dele , acho não deve falar o q pensa !",0
REALIZANDO O SONHO DOS PASTORES. .,0
Porque é bandido da organização criminosa do luladrao. Não aceita nosso presidente Bolsonaro. E melhor aceita que dói menos😂,1
Acertivo!,0
Lamentável postura dela . Estamos de olho,0
Ele não e uma mulher negra ela e uma linda mulher por favor vamos valorizar as mulheres em vez de segregar sei que existe preconceito esses tipo de comentário fortalece as diferenças,0
"Marionete, na minha opinião ela foi e é uma marionete. Deveria estar estudando e não querendo aparecer por aí, é notório que ela não tem conhecimento nem capacidade de julgar nada nesses assuntos abordados.",1
Esse rapaz não foi eleito presidente voces estão se tornando imsuportaveis,1
Infelizmente elegeram um pouco para residir o Brasil,0
Parabéns ministro,0
Pqp,1
Pra quem votou nisso. Tb contribuira para isso.,0
É muito mimimi,1
Vindo desta corja era de se esperar ...,1
Tadeu do PSL. (Partido Só de Laranjas.) Atitude repudiante. Tá louco meu!!! É hora de impor limites a esses fascistas de MERDA.🤢,1
Esse bandido tem que cair fora,1
Futuro presidente do Brasil.,0
"Deixando de seguir, pq @joicehasselmannoficial so perde tempo implicando com os bolsonaros...3...2..1...fui!",0
É complicado o desmame dessa turma da esquerda. Se acostumaram com a grana fácil desviada dos cofres públicos e agora esperneiam com a seca total.,1
VIVA BOLSONARO 🇧🇷🇧🇷🇧🇷🇧🇷,0
Revoltante o q este ser fez.,0
Minha deputada do coração.,0
Cachorra safada o Brasil tá sob nova direção,1
❤️❤️❤️❤️❤️❤️.Dois seres humanos super.Amoooooo,0
Muito bom!,0
"Vai te catar ,cuida do teu país,o Brasil tem quem cuide🙏🇧🇷",1
@carla.zambelli Era bom apagar este post..... pq ele sim é uma #fakenews 🤔,0
É dePUTAda mesmo,0
"Venezuelanos correm para o território brasileiro pedindo socorro,e esses esquerdistas que só pensam no poder apoiando aquele filho da puta daquele psicopata. Falei",1
Miserável !!!😥,1
"Qualquer coisa que alguém da direita disser será desvirtuado para ser usado pela esquerda pra atacar. Ele citou um exemplo histórico que nós não queremos de volta mas pra isso o Brasil tem que se preparar, coisa que não fez na década de 60.🇧🇷",0
A esquerdalha e a que mais fábrica fake News eles são Mestre. Nisto,1
👏👏A saúde do planeta é urgente!,0
"Eu sempre falo, presidente, tem que começar a agir, não mais pela a emoção e sim pelo trabalho, eu acho que já está na hora de parar os filhos dele, pois cada declaração dessa é mais motivo pro povo quere apoiar a esquerda, ele ta vendo que no Chile, tá incontrolável, a Argentina colocou um esquerdista novamente no poder. Então tá na hora de parar com a língua, é trabalhar mais!",0
Saudades do que não vivemos.,0
"Muito merecido, ela é linda demais!👏👏👏👏👏",0
"É, pq o povo só entende o que desenham pra ele.",0
Com certeza os cadê Queiroz não vão perder 😁😁,0
A Argentina do Macri com 50% de inflação e o Bozo asno vem falar isso sem nem saber nada. O povo aqui da Argentina tá rindo da cara do Bozo e pedindo pra ele ficar calado.,1
A GLOBOLIXO NÃO CANSA DE PASSAR VERGONHA!! #GLOBOLIXO,1
Parabéns grande professor! 🌹,0
"Eita ferro,kkkkk",0
Estamos juntos🇧🇷,0
Hipocrita!!,1
"Realmente , seria mais sensato que os filhos do Presidente permanecessem calados!!! 👍",0
"Esplicar isso para um eleitor do bozo , é mesmo q dá remedio a defunto kkkkkkkkk",0
#globolixo,1
Carra de pau 😠,1
"Grande merda, o q adianta se depois vem um fdp e solta o Zé cana brava!!!",1
Esse cara fala besteira demais....Se ele manter a bica fechada com certeza vai ganhar muito mais.,1
Meu presidente!!! ❤️,0
"Alexandre Garcia, excelente jornalista. 👏👏👏👏",0
Parabéns ministro Fachin tenha coragem e seja firme nesse momento a maioria dos brasileiros está te apoiando,0
"@fernandohaddadoficial Me entrevista tbm, por favor! ❤️",0
#frenteemdefesadasoberania #brasilsobataque #brasilsobataquefascista #obrasilénosso,1
"Fachin Tmj, coloca este bandido na cadeia",1
É melhor um filho falando o que pensa. Do que um filho ficando rico caladinho.,0
Violência inaceitável é culpar policiais de genocídio contra negros,0
Pensado bem... saímos no lucro!! Não vai ter cadeia suficiente para tantos esquerdistas fanáticos. 😂😂😂🇧🇷🇧🇷,1
Para com essa briga. Todo mundo erra. Seja compassiva com os outros. Ou aguentaremos os ladroes da esquerda.,1
Muito feliz com os avanços do país. Estamos em boas mãos.,0
Os filhos do Bolsanario não merece este pai,0
😂😂 Ela é galinha! Pena?! Q é isso!?,1
Lider miojo kkkkkk,1
"É tanta gente querendo se meter aqui no Brasil principalmente na Amazônia que dá nojo, agora ainda usam uma pirralha que se duvidar não sabe nem lavar o fundo da calcinha pra ficar opinando aqui,tem que mandar esse povo cuida do país deles que pode ser primeiro mundo pra eles pra nós o Brasil en",1
Pirralha!!!,1
Inacreditável mesmo!,0
Esse cara só evacua pela boca?,1
"Quero ver esse cabra nordestino, velho e Barbudo, tomando cachaça no acampamento e claro casado novamente!❤️",1
Que foto lindaaaaa!!,0
Segundo o Datafolha o Hadad era o Presidente.... 😂😂😂😂😂😂😂😂😂😂,0
Ptistas Lixos 💩,1
Nossa que coisa em uma menina de merda a personalidade do ano chora Joice pare de ser ridícula.,1
Que nojo!!,1
Inacreditável!!!😪😪😪,0
É assim que covardes sem argumentos se “defendem”...,1
Gato que homen lindo🔥🔥🔥🔥🔥,0
A rocha eles pra saber ter respeito pelo o nosso povo brasileiro,0
Parabéns merecido,0
"#macriyafue !!!! A volver, vamos a volver! Que o Brasil aprenda com o vizinho!",0
Pura verdade👏🌹,0
"E ninguém vai fazer nada contra esse sujeito??? Não é possível que depois de falar isso, não irá acontecer nada contra ele!!!!",1
Tem q prender todos os petistas psolistas pcdobistas etc.,1
👏👏👍🇧🇷QUI legal! Nunca vi a Câmara tão visitada💚💛LINDOS 👏,0
Saber que um dia já ouvi pregação desse irmão e me senti abençoado. Agr prega e vive nesse odio,0
Essa safada... Dinheiro ela gosta né? Não tem pena de roubar do Brasil!,1
"@joicehasselmannoficial TOLA, MESQUINHA E ARRUINADA.",1
Familicia destruindo os direitos do trabalhador...,1
Que asco,1
Que vergonha!,1
Essa comunista de bosta da Globo lixo não vale nada.,1
Manda prender esse babaca!!!!🤬🤬🤬🤬🤬,1
"Joice,vc deveria se declarar lulista, é só o que está faltando...",0
Divos,0
Só quero saber quem irá julgar os esquerdopatas ? Sabemos muito bem que eles são os reis em FakeNews.,1
Desespero da globolixo,1
O Brasil precisa tanto desse avanço... 🇧🇷👏,0
"Uaaaaauuu! Você é maravilhoso, HADDAD ❤️❤️",0
Haddad quero vê a faixa presidencial no seu peito,0
@anthonymelo86 Vc gostou?acabou de falar!,0
"E corrupcao e o que, que matou milhares de brasileiros com roubalheira do dinheiro do povo?",1
Oba! 😍 👏👏👏,0
É um bosta.,1
O peso dessa foto.. 😍,0
As vezes eles acertam,0
"nossa me arrepiei, tomara q existam mais Gretas no mundo",0
Concordo !!!,0
VAI VOLTAR PRA JAULA,1
Ora se é...alguém duvida?,0
Está onde merece essa traidora!,1
"Saudades, Haddad, saudades...",0
Escreveu racismo errado? Kkkk. Professor geração Paulo Freire,0
Tá ligada que se vc continuar assim não vai ser eleita novamente nem para síndica do teu prédio neh....,1
Fala Haddad nosso próximo Presidente.😍,0
Esse PT é um lixo mesmo,1
Vamos voltar a pauta #reformadaprevidencia e #vetaleiabusodeautoridade 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,0
"Tem que ter em todas escolas de Brasília , principalmente as mais carentes isso sim ,",0
Deus no comando,0
"Seja como for, continue trabalhando e o resto vai se resolvendo sem disputas.",0
"E a imbecil da mãe, ainda da risada.",1
"Que tristeza de país, estou perdendo a esperança de um presente melhor e futuro digno e feliz para meus filhos e netos!Esquecem que o caixão não tem gavetas,canalhas do congresso e STF",1
"Volta, Daddinho! Livra a gente dessa barbárie. 😭😭😭😭",0
A beleza dela transborda através das palavras que pronuncia.,0
Isso já se espera desce vermes,1
E nós sentimos ranço dela! Ela pode guardar a pena dela pra ela na mesma conta que o Lula mandou o dinheiro.,1
"Te mandei um email, olhe",0
Vergonha da Joyce....,1
Parabéns 👏👏👏👏👏👏,0
"Seria mais correto fixar o salário mínimo em R$3000,00 primeiro.",0
Disse uma das maiores terroristas do Brasil.,1
"Bandida, safada, comunista e corrupta!!! Fora do Brasil!! Lixo!!!",1
Cadê as forças armadas!!!!!Socorro!!!!!,1
Sensacional! 🤗🤗🤗,0
"O povo tem que se reunir e expulsar esses pastores estelionatários das suas igrejas , bandidos.",1
Interdição nessa praga Já,1
Vou assistir,0
Q mulher ordinária,1
É uma anta!!,1
Podia deixar o cara em paz. Inveja da peste. Mágoa reprimida.,1
Benedita você é sensacional!,0
Babacas como Luciano HAng financiam essa palhaçada,1
Dois ícones,0
"Joga uma carteira de trabalho que correm todos, na verdade não gostam de trabalhar só sabem roubar o brasil",1
Bandido! Canalha e racista! Q a justiça seja feita!,1
"Eles vão apanhar nas Ruas, Dirceu.",0
Vermelha tá a bunda desses vermes !!!!!!,1
Um absurdo é o povo não manifestar nas ruas.,0
Estão brigando por poder e não pelo Brasil,0
Benedita👏👏👏👏👏👏👏,0
"Aqui em Vitória o comércio está aquecido, os shoppings cheios de pessoas com sacolas nas mãos, várias lojinhas sendo abertas...otimismo e esperança 👏👏",0
Você é o presidente que eu gostaria de ter!,0
Vc é o máximo professor ❤️,0
Luladrão é o encardido! Esse cara é insuportável e não desiste! Louco! Ridículo!,1
Ainda tem quem ache engraçado esse velho pervertido,1
Imundo,1
Grande Eduardo!👏👏👏,0
"Otária, BABACA.",1
"Não consigo ouvir a voz deste lula,repúdio total da cara dele e voz dele😡😡😡😡",1
Ela é muito linda! 🌹,0
Gretta speaking and pegeons shitting are the same thing!!!🤢🤮,1
"Gente premio maior seria para quem trabalha em proldos milhares de refugiados, principalmente no oriente medio. Gente que morre todo dia nas aguas...criancas...velhos...pais...maes... Valei-me essa menina e somente uma exporacao midiatica!",1
Muito amor numa foto,0
"Essa menina não passa de massa de manobra, mas a esquerda adora um “ídolo” cabeça de vento.",1
